llm_row_nr,elite_vs_mass_conflict,in_group_vs_out_group_exclusion,institutional_knowledge_denial,societal_moral_regression,imminent_acute_crisis_panic,systemic_sovereignty_revival
2490,0,0,3,0,0,0
7013,0,0,0,0,0,0
8719,0,0,0,0,0,0
17049,3,0,3,0,0,0
22388,0,0,0,0,0,0
22626,0,0,0,0,0,0
25493,0,0,0,0,0,0
27623,0,0,0,0,0,0
28710,0,0,0,0,0,0
30163,1,0,0,0,0,0
30430,0,0,1,0,0,0
31287,0,0,0,0,0,0
35098,3,0,1,0,1,0
35716,0,0,0,0,0,0
37549,0,0,2,0,0,0
38661,0,0,0,0,3,0
38713,0,0,2,1,2,0
39714,1,0,0,0,1,0
44952,0,0,2,1,0,0
46453,2,3,0,0,0,0
6832,0,0,0,0,0,0
7196,3,0,0,0,0,0
9381,3,0,0,0,0,0
11119,0,0,1,0,0,0
11454,2,0,1,0,0,0
11753,0,0,3,0,0,0
13962,0,0,1,0,0,0
16496,2,0,0,0,0,0
18495,3,3,2,1,2,3
19098,2,0,0,0,0,0
19367,2,0,0,0,0,1
20180,2,0,1,2,2,0
20884,3,0,0,0,0,0
23433,0,0,0,0,0,0
24834,0,0,2,0,0,0
26433,3,0,3,0,2,0
26448,1,0,3,0,3,2
27981,0,0,0,0,0,0
28762,0,0,0,0,0,0
32498,0,0,2,0,2,0
35357,0,0,0,0,0,0
35769,0,0,2,0,0,0
39983,2,0,2,0,0,0
40238,0,0,0,0,0,0
41559,0,0,0,0,0,0
43087,0,0,0,0,3,0
46351,3,0,2,0,0,0
47575,0,0,2,0,0,0
47772,1,0,0,0,0,0
48142,0,0,0,0,0,0
